comparison_scope,region,dataset_fraction,policy_mode,seed,workers,trace_hash_local,trace_hash_cloud,hash_match,unauthorized_invocations
local_to_cloud,asia-southeast1,0.25,never,1,4,03b4016dec65d7298da2145469f4e9b953c9dec5a1f78acf4f791bcab1096bb4,03b4016dec65d7298da2145469f4e9b953c9dec5a1f78acf4f791bcab1096bb4,1,0
local_to_cloud,asia-southeast1,0.25,never,1,8,03b4016dec65d7298da2145469f4e9b953c9dec5a1f78acf4f791bcab1096bb4,03b4016dec65d7298da2145469f4e9b953c9dec5a1f78acf4f791bcab1096bb4,1,0
local_to_cloud,asia-southeast1,0.25,never,2,1,03b4016dec65d7298da2145469f4e9b953c9dec5a1f78acf4f791bcab1096bb4,03b4016dec65d7298da2145469f4e9b953c9dec5a1f78acf4f791bcab1096bb4,1,0
local_to_cloud,asia-southeast1,0.25,never,2,2,03b4016dec65d7298da2145469f4e9b953c9dec5a1f78acf4f791bcab1096bb4,03b4016dec65d7298da2145469f4e9b953c9dec5a1f78acf4f791bcab1096bb4,1,0
local_to_cloud,asia-southeast1,0.25,never,2,4,03b4016dec65d7298da2145469f4e9b953c9dec5a1f78acf4f791bcab1096bb4,03b4016dec65d7298da2145469f4e9b953c9dec5a1f78acf4f791bcab1096bb4,1,0
local_to_cloud,asia-southeast1,0.25,never,2,8,03b4016dec65d7298da2145469f4e9b953c9dec5a1f78acf4f791bcab1096bb4,03b4016dec65d7298da2145469f4e9b953c9dec5a1f78acf4f791bcab1096bb4,1,0
local_to_cloud,asia-southeast1,0.25,never,3,1,03b4016dec65d7298da2145469f4e9b953c9dec5a1f78acf4f791bcab1096bb4,03b4016dec65d7298da2145469f4e9b953c9dec5a1f78acf4f791bcab1096bb4,1,0
local_to_cloud,asia-southeast1,0.25,never,3,2,03b4016dec65d7298da2145469f4e9b953c9dec5a1f78acf4f791bcab1096bb4,03b4016dec65d7298da2145469f4e9b953c9dec5a1f78acf4f791bcab1096bb4,1,0
local_to_cloud,asia-southeast1,0.25,never,3,4,03b4016dec65d7298da2145469f4e9b953c9dec5a1f78acf4f791bcab1096bb4,03b4016dec65d7298da2145469f4e9b953c9dec5a1f78acf4f791bcab1096bb4,1,0
local_to_cloud,asia-southeast1,0.25,never,3,8,03b4016dec65d7298da2145469f4e9b953c9dec5a1f78acf4f791bcab1096bb4,03b4016dec65d7298da2145469f4e9b953c9dec5a1f78acf4f791bcab1096bb4,1,0
local_to_cloud,asia-southeast1,0.25,random,1,1,beac4d6b5801a7b24c70a7d523b537f7f92ab282185e34b7973e6ad9b22f1a8c,beac4d6b5801a7b24c70a7d523b537f7f92ab282185e34b7973e6ad9b22f1a8c,1,0
local_to_cloud,asia-southeast1,0.25,random,1,2,beac4d6b5801a7b24c70a7d523b537f7f92ab282185e34b7973e6ad9b22f1a8c,beac4d6b5801a7b24c70a7d523b537f7f92ab282185e34b7973e6ad9b22f1a8c,1,0
local_to_cloud,asia-southeast1,0.25,random,1,4,beac4d6b5801a7b24c70a7d523b537f7f92ab282185e34b7973e6ad9b22f1a8c,beac4d6b5801a7b24c70a7d523b537f7f92ab282185e34b7973e6ad9b22f1a8c,1,0
local_to_cloud,asia-southeast1,0.25,random,1,8,beac4d6b5801a7b24c70a7d523b537f7f92ab282185e34b7973e6ad9b22f1a8c,beac4d6b5801a7b24c70a7d523b537f7f92ab282185e34b7973e6ad9b22f1a8c,1,0
local_to_cloud,asia-southeast1,0.25,random,2,1,fc14cefecb490a6f0d5f7a5d49977a445a8aaedda4776869398d1e26a245ed98,fc14cefecb490a6f0d5f7a5d49977a445a8aaedda4776869398d1e26a245ed98,1,0
local_to_cloud,asia-southeast1,0.25,random,2,2,fc14cefecb490a6f0d5f7a5d49977a445a8aaedda4776869398d1e26a245ed98,fc14cefecb490a6f0d5f7a5d49977a445a8aaedda4776869398d1e26a245ed98,1,0
local_to_cloud,asia-southeast1,0.25,random,2,4,fc14cefecb490a6f0d5f7a5d49977a445a8aaedda4776869398d1e26a245ed98,fc14cefecb490a6f0d5f7a5d49977a445a8aaedda4776869398d1e26a245ed98,1,0
local_to_cloud,asia-southeast1,0.25,random,2,8,fc14cefecb490a6f0d5f7a5d49977a445a8aaedda4776869398d1e26a245ed98,fc14cefecb490a6f0d5f7a5d49977a445a8aaedda4776869398d1e26a245ed98,1,0
local_to_cloud,asia-southeast1,0.25,random,3,1,54f8e0011857f30ce9641eefecbcc774acca1e8982d00aa97fabf7e3d14a577e,54f8e0011857f30ce9641eefecbcc774acca1e8982d00aa97fabf7e3d14a577e,1,0
local_to_cloud,asia-southeast1,0.25,random,3,2,54f8e0011857f30ce9641eefecbcc774acca1e8982d00aa97fabf7e3d14a577e,54f8e0011857f30ce9641eefecbcc774acca1e8982d00aa97fabf7e3d14a577e,1,0
local_to_cloud,asia-southeast1,0.25,random,3,4,54f8e0011857f30ce9641eefecbcc774acca1e8982d00aa97fabf7e3d14a577e,54f8e0011857f30ce9641eefecbcc774acca1e8982d00aa97fabf7e3d14a577e,1,0
local_to_cloud,asia-southeast1,0.25,random,3,8,54f8e0011857f30ce9641eefecbcc774acca1e8982d00aa97fabf7e3d14a577e,54f8e0011857f30ce9641eefecbcc774acca1e8982d00aa97fabf7e3d14a577e,1,0
local_to_cloud,asia-southeast1,0.25,risk_proxy,1,1,8fd2aedd00bf5cadd1b67c06aac6812fbf39bac260da628384ba0a8df0ce390b,8fd2aedd00bf5cadd1b67c06aac6812fbf39bac260da628384ba0a8df0ce390b,1,0
local_to_cloud,asia-southeast1,0.25,risk_proxy,1,2,8fd2aedd00bf5cadd1b67c06aac6812fbf39bac260da628384ba0a8df0ce390b,8fd2aedd00bf5cadd1b67c06aac6812fbf39bac260da628384ba0a8df0ce390b,1,0
local_to_cloud,asia-southeast1,0.25,risk_proxy,1,4,8fd2aedd00bf5cadd1b67c06aac6812fbf39bac260da628384ba0a8df0ce390b,8fd2aedd00bf5cadd1b67c06aac6812fbf39bac260da628384ba0a8df0ce390b,1,0
local_to_cloud,asia-southeast1,0.25,risk_proxy,1,8,8fd2aedd00bf5cadd1b67c06aac6812fbf39bac260da628384ba0a8df0ce390b,8fd2aedd00bf5cadd1b67c06aac6812fbf39bac260da628384ba0a8df0ce390b,1,0
local_to_cloud,asia-southeast1,0.25,risk_proxy,2,1,8fd2aedd00bf5cadd1b67c06aac6812fbf39bac260da628384ba0a8df0ce390b,8fd2aedd00bf5cadd1b67c06aac6812fbf39bac260da628384ba0a8df0ce390b,1,0
local_to_cloud,asia-southeast1,0.25,risk_proxy,2,2,8fd2aedd00bf5cadd1b67c06aac6812fbf39bac260da628384ba0a8df0ce390b,8fd2aedd00bf5cadd1b67c06aac6812fbf39bac260da628384ba0a8df0ce390b,1,0
local_to_cloud,asia-southeast1,0.25,risk_proxy,2,4,8fd2aedd00bf5cadd1b67c06aac6812fbf39bac260da628384ba0a8df0ce390b,8fd2aedd00bf5cadd1b67c06aac6812fbf39bac260da628384ba0a8df0ce390b,1,0
local_to_cloud,asia-southeast1,0.25,risk_proxy,2,8,8fd2aedd00bf5cadd1b67c06aac6812fbf39bac260da628384ba0a8df0ce390b,8fd2aedd00bf5cadd1b67c06aac6812fbf39bac260da628384ba0a8df0ce390b,1,0
local_to_cloud,asia-southeast1,0.25,risk_proxy,3,1,8fd2aedd00bf5cadd1b67c06aac6812fbf39bac260da628384ba0a8df0ce390b,8fd2aedd00bf5cadd1b67c06aac6812fbf39bac260da628384ba0a8df0ce390b,1,0
local_to_cloud,asia-southeast1,0.25,risk_proxy,3,2,8fd2aedd00bf5cadd1b67c06aac6812fbf39bac260da628384ba0a8df0ce390b,8fd2aedd00bf5cadd1b67c06aac6812fbf39bac260da628384ba0a8df0ce390b,1,0
local_to_cloud,asia-southeast1,0.25,risk_proxy,3,4,8fd2aedd00bf5cadd1b67c06aac6812fbf39bac260da628384ba0a8df0ce390b,8fd2aedd00bf5cadd1b67c06aac6812fbf39bac260da628384ba0a8df0ce390b,1,0
local_to_cloud,asia-southeast1,0.25,risk_proxy,3,8,8fd2aedd00bf5cadd1b67c06aac6812fbf39bac260da628384ba0a8df0ce390b,8fd2aedd00bf5cadd1b67c06aac6812fbf39bac260da628384ba0a8df0ce390b,1,0
local_to_cloud,asia-southeast1,0.5,always,1,1,0e5775445f525e491057d7a8f5ea715419a48a9fc23d5e0a528c4acae88567db,0e5775445f525e491057d7a8f5ea715419a48a9fc23d5e0a528c4acae88567db,1,0
local_to_cloud,asia-southeast1,0.5,always,1,2,0e5775445f525e491057d7a8f5ea715419a48a9fc23d5e0a528c4acae88567db,0e5775445f525e491057d7a8f5ea715419a48a9fc23d5e0a528c4acae88567db,1,0
local_to_cloud,asia-southeast1,0.5,always,1,4,0e5775445f525e491057d7a8f5ea715419a48a9fc23d5e0a528c4acae88567db,0e5775445f525e491057d7a8f5ea715419a48a9fc23d5e0a528c4acae88567db,1,0
local_to_cloud,asia-southeast1,0.5,always,1,8,0e5775445f525e491057d7a8f5ea715419a48a9fc23d5e0a528c4acae88567db,0e5775445f525e491057d7a8f5ea715419a48a9fc23d5e0a528c4acae88567db,1,0
local_to_cloud,asia-southeast1,0.5,always,2,1,0e5775445f525e491057d7a8f5ea715419a48a9fc23d5e0a528c4acae88567db,0e5775445f525e491057d7a8f5ea715419a48a9fc23d5e0a528c4acae88567db,1,0
local_to_cloud,asia-southeast1,0.5,always,2,2,0e5775445f525e491057d7a8f5ea715419a48a9fc23d5e0a528c4acae88567db,0e5775445f525e491057d7a8f5ea715419a48a9fc23d5e0a528c4acae88567db,1,0
local_to_cloud,asia-southeast1,0.5,always,2,4,0e5775445f525e491057d7a8f5ea715419a48a9fc23d5e0a528c4acae88567db,0e5775445f525e491057d7a8f5ea715419a48a9fc23d5e0a528c4acae88567db,1,0
local_to_cloud,asia-southeast1,0.5,always,2,8,0e5775445f525e491057d7a8f5ea715419a48a9fc23d5e0a528c4acae88567db,0e5775445f525e491057d7a8f5ea715419a48a9fc23d5e0a528c4acae88567db,1,0
local_to_cloud,asia-southeast1,0.5,always,3,1,0e5775445f525e491057d7a8f5ea715419a48a9fc23d5e0a528c4acae88567db,0e5775445f525e491057d7a8f5ea715419a48a9fc23d5e0a528c4acae88567db,1,0
local_to_cloud,asia-southeast1,0.5,always,3,2,0e5775445f525e491057d7a8f5ea715419a48a9fc23d5e0a528c4acae88567db,0e5775445f525e491057d7a8f5ea715419a48a9fc23d5e0a528c4acae88567db,1,0
local_to_cloud,asia-southeast1,0.5,always,3,4,0e5775445f525e491057d7a8f5ea715419a48a9fc23d5e0a528c4acae88567db,0e5775445f525e491057d7a8f5ea715419a48a9fc23d5e0a528c4acae88567db,1,0
local_to_cloud,asia-southeast1,0.5,always,3,8,0e5775445f525e491057d7a8f5ea715419a48a9fc23d5e0a528c4acae88567db,0e5775445f525e491057d7a8f5ea715419a48a9fc23d5e0a528c4acae88567db,1,0
local_to_cloud,asia-southeast1,0.5,never,1,1,5aeeadc92fcdd679ffd2f058d347aa605af2aa914f3477ce7234428d23f20754,5aeeadc92fcdd679ffd2f058d347aa605af2aa914f3477ce7234428d23f20754,1,0
local_to_cloud,asia-southeast1,0.5,never,1,2,5aeeadc92fcdd679ffd2f058d347aa605af2aa914f3477ce7234428d23f20754,5aeeadc92fcdd679ffd2f058d347aa605af2aa914f3477ce7234428d23f20754,1,0
local_to_cloud,asia-southeast1,0.5,never,1,4,5aeeadc92fcdd679ffd2f058d347aa605af2aa914f3477ce7234428d23f20754,5aeeadc92fcdd679ffd2f058d347aa605af2aa914f3477ce7234428d23f20754,1,0
local_to_cloud,asia-southeast1,0.5,never,1,8,5aeeadc92fcdd679ffd2f058d347aa605af2aa914f3477ce7234428d23f20754,5aeeadc92fcdd679ffd2f058d347aa605af2aa914f3477ce7234428d23f20754,1,0
local_to_cloud,asia-southeast1,0.5,never,2,1,5aeeadc92fcdd679ffd2f058d347aa605af2aa914f3477ce7234428d23f20754,5aeeadc92fcdd679ffd2f058d347aa605af2aa914f3477ce7234428d23f20754,1,0
local_to_cloud,asia-southeast1,0.5,never,2,2,5aeeadc92fcdd679ffd2f058d347aa605af2aa914f3477ce7234428d23f20754,5aeeadc92fcdd679ffd2f058d347aa605af2aa914f3477ce7234428d23f20754,1,0
local_to_cloud,asia-southeast1,0.5,never,2,4,5aeeadc92fcdd679ffd2f058d347aa605af2aa914f3477ce7234428d23f20754,5aeeadc92fcdd679ffd2f058d347aa605af2aa914f3477ce7234428d23f20754,1,0
local_to_cloud,asia-southeast1,0.5,never,2,8,5aeeadc92fcdd679ffd2f058d347aa605af2aa914f3477ce7234428d23f20754,5aeeadc92fcdd679ffd2f058d347aa605af2aa914f3477ce7234428d23f20754,1,0
local_to_cloud,asia-southeast1,0.5,never,3,1,5aeeadc92fcdd679ffd2f058d347aa605af2aa914f3477ce7234428d23f20754,5aeeadc92fcdd679ffd2f058d347aa605af2aa914f3477ce7234428d23f20754,1,0
local_to_cloud,asia-southeast1,0.5,never,3,2,5aeeadc92fcdd679ffd2f058d347aa605af2aa914f3477ce7234428d23f20754,5aeeadc92fcdd679ffd2f058d347aa605af2aa914f3477ce7234428d23f20754,1,0
