dataset_fraction,workload_name,policy_mode,seed,workers,trace_hash,reference_hash,hash_match,record_trace_hash,reference_record_trace_hash,record_trace_hash_match,config_manifest_hash,config_bound_trace_hash,intervention_rate,reference_intervention_rate,intervention_rate_delta,unauthorized_invocations,authorization_execution_consistent,receipt_validation_passed,receipt_fault_injected_count,expected_row_count,observed_row_count,row_count_match,validation_passed,fault_injected_count
0.25,fraction_0p25,risk_proxy,2,2,8fd2aedd00bf5cadd1b67c06aac6812fbf39bac260da628384ba0a8df0ce390b,8fd2aedd00bf5cadd1b67c06aac6812fbf39bac260da628384ba0a8df0ce390b,1,,,,ec6ffd578ec0756e225c4b5f7de0a927a003e8d11c7f34cd82bc04ec240fe0cd,,0.20514628128304546,0.20514628128304546,0.0,0,1,1,0,2837,2837,1,1,0
0.25,fraction_0p25,risk_proxy,2,4,8fd2aedd00bf5cadd1b67c06aac6812fbf39bac260da628384ba0a8df0ce390b,8fd2aedd00bf5cadd1b67c06aac6812fbf39bac260da628384ba0a8df0ce390b,1,,,,35047db29447eadb77991c38d1ee098a4de276cb2202e98bbca855d186de2580,,0.20514628128304546,0.20514628128304546,0.0,0,1,1,0,2837,2837,1,1,0
0.25,fraction_0p25,risk_proxy,2,8,8fd2aedd00bf5cadd1b67c06aac6812fbf39bac260da628384ba0a8df0ce390b,8fd2aedd00bf5cadd1b67c06aac6812fbf39bac260da628384ba0a8df0ce390b,1,,,,06ffd98abf347aa29b51fbad984181f07494d707b127dabbac05c570d8fe437c,,0.20514628128304546,0.20514628128304546,0.0,0,1,1,0,2837,2837,1,1,0
0.25,fraction_0p25,risk_proxy,3,1,8fd2aedd00bf5cadd1b67c06aac6812fbf39bac260da628384ba0a8df0ce390b,8fd2aedd00bf5cadd1b67c06aac6812fbf39bac260da628384ba0a8df0ce390b,1,,,,b43b801c39bbfd9d266dbd1c904e294537632c6bfabfe7688153213fcce472fd,,0.20514628128304546,0.20514628128304546,0.0,0,1,1,0,2837,2837,1,1,0
0.25,fraction_0p25,risk_proxy,3,2,8fd2aedd00bf5cadd1b67c06aac6812fbf39bac260da628384ba0a8df0ce390b,8fd2aedd00bf5cadd1b67c06aac6812fbf39bac260da628384ba0a8df0ce390b,1,,,,474f3f5d5cc3226ec1e15dd779472b140218a76bf1d0c6ca11460d9c0862a1bf,,0.20514628128304546,0.20514628128304546,0.0,0,1,1,0,2837,2837,1,1,0
0.25,fraction_0p25,risk_proxy,3,4,8fd2aedd00bf5cadd1b67c06aac6812fbf39bac260da628384ba0a8df0ce390b,8fd2aedd00bf5cadd1b67c06aac6812fbf39bac260da628384ba0a8df0ce390b,1,,,,d337d3e6741e6ab28970d64b195e983b2f5f1040af442a8711743526603685f5,,0.20514628128304546,0.20514628128304546,0.0,0,1,1,0,2837,2837,1,1,0
0.25,fraction_0p25,risk_proxy,3,8,8fd2aedd00bf5cadd1b67c06aac6812fbf39bac260da628384ba0a8df0ce390b,8fd2aedd00bf5cadd1b67c06aac6812fbf39bac260da628384ba0a8df0ce390b,1,,,,66e19d700d336f2157686475689a68b79116304aea14636fec79e12e26b19a38,,0.20514628128304546,0.20514628128304546,0.0,0,1,1,0,2837,2837,1,1,0
0.25,fraction_0p25,random,1,1,beac4d6b5801a7b24c70a7d523b537f7f92ab282185e34b7973e6ad9b22f1a8c,beac4d6b5801a7b24c70a7d523b537f7f92ab282185e34b7973e6ad9b22f1a8c,1,,,,ab0a4ed4b0ea4b97fe76ff3a3df6a3ad0d261b471001d4070f37dea575654efa,,0.48642932675361295,0.48642932675361295,0.0,0,1,1,0,2837,2837,1,1,0
0.25,fraction_0p25,random,1,2,beac4d6b5801a7b24c70a7d523b537f7f92ab282185e34b7973e6ad9b22f1a8c,beac4d6b5801a7b24c70a7d523b537f7f92ab282185e34b7973e6ad9b22f1a8c,1,,,,9f70b1e8e714d10829b7e40d62092dd4e51366f9017db982edd68baaec35dd5d,,0.48642932675361295,0.48642932675361295,0.0,0,1,1,0,2837,2837,1,1,0
0.25,fraction_0p25,random,1,4,beac4d6b5801a7b24c70a7d523b537f7f92ab282185e34b7973e6ad9b22f1a8c,beac4d6b5801a7b24c70a7d523b537f7f92ab282185e34b7973e6ad9b22f1a8c,1,,,,4dbe8051f023a720d45ae04735cf0972a63ccdf8102506d68c181f56c8b72f3f,,0.48642932675361295,0.48642932675361295,0.0,0,1,1,0,2837,2837,1,1,0
0.25,fraction_0p25,random,1,8,beac4d6b5801a7b24c70a7d523b537f7f92ab282185e34b7973e6ad9b22f1a8c,beac4d6b5801a7b24c70a7d523b537f7f92ab282185e34b7973e6ad9b22f1a8c,1,,,,719ccbf863665c1d336cbb0802bc95afb2340f125d59a231fd968b8944940080,,0.48642932675361295,0.48642932675361295,0.0,0,1,1,0,2837,2837,1,1,0
0.25,fraction_0p25,random,2,1,fc14cefecb490a6f0d5f7a5d49977a445a8aaedda4776869398d1e26a245ed98,fc14cefecb490a6f0d5f7a5d49977a445a8aaedda4776869398d1e26a245ed98,1,,,,9935ab6cd303c044ccf12817d2bcec37420598cc8e4d748ee9574318e8849be0,,0.5008812125484667,0.5008812125484667,0.0,0,1,1,0,2837,2837,1,1,0
