dataset_fraction,workload_name,workload_size,policy_mode,workers,runtime_seconds_mean,runtime_seconds_std,runtime_seconds_min,runtime_seconds_max,throughput_points_per_second_mean,throughput_points_per_second_std,throughput_points_per_second_min,throughput_points_per_second_max,speedup_vs_single_worker_mean,speedup_vs_single_worker_std,speedup_vs_single_worker_min,speedup_vs_single_worker_max,throughput_gain_vs_single_worker_mean,throughput_gain_vs_single_worker_std,throughput_gain_vs_single_worker_min,throughput_gain_vs_single_worker_max
0.1,fraction_0p1,1135,risk_proxy,1,0.013635,0.001199,0.012252,0.014367,83694.268291,7749.958064,78998.837637,92639.448905,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
0.1,fraction_0p1,1135,risk_proxy,2,0.046235,0.024595,0.030713,0.074593,28717.627257,11786.824773,15215.986572,36954.554039,0.342046,0.139785,0.19153,0.467786,0.342046,0.139785,0.19153,0.467786
0.1,fraction_0p1,1135,risk_proxy,4,0.031484,0.000623,0.030804,0.032027,36059.376485,718.074208,35438.737819,36845.864173,0.432724,0.030583,0.397734,0.454355,0.432724,0.030583,0.397734,0.454355
0.1,fraction_0p1,1135,risk_proxy,8,0.032552,0.001376,0.031026,0.0337,34909.763672,1500.829553,33679.325346,36581.86764,0.419622,0.044582,0.372067,0.460471,0.419622,0.044582,0.372067,0.460471
0.25,fraction_0p25,2837,always,1,0.042005,0.001397,0.040769,0.04352,67588.497764,2226.750559,65188.119541,69586.84497,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
0.25,fraction_0p25,2837,always,2,0.123467,0.030985,0.091532,0.153405,24033.44255,6370.525543,18493.506087,30994.523245,0.356168,0.095392,0.265762,0.455865,0.356168,0.095392,0.265762,0.455865
0.25,fraction_0p25,2837,always,4,0.107425,0.032214,0.085873,0.144457,27843.835343,7188.753604,19639.116523,33037.121054,0.410194,0.096697,0.301268,0.485908,0.410194,0.096697,0.301268,0.485908
0.25,fraction_0p25,2837,always,8,0.107343,0.031248,0.086555,0.143278,27782.937558,6985.212114,19800.681054,32776.998566,0.412888,0.111261,0.284546,0.482082,0.412888,0.111261,0.284546,0.482082
0.25,fraction_0p25,2837,never,1,0.028493,0.000778,0.028001,0.029391,99616.071108,2679.739341,96527.132734,101318.17191,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
0.25,fraction_0p25,2837,never,2,0.100164,0.027965,0.06891,0.122821,30117.800754,9687.010802,23098.599347,41169.701305,0.301942,0.093918,0.227981,0.407609,0.301942,0.093918,0.227981,0.407609
0.25,fraction_0p25,2837,never,4,0.085467,0.030986,0.065679,0.121177,35799.987046,10795.28561,23412.052957,43194.998699,0.360244,0.111255,0.231796,0.42633,0.360244,0.111255,0.231796,0.42633
0.25,fraction_0p25,2837,never,8,0.127036,0.011083,0.11906,0.139692,22441.217456,1874.228854,20309.023592,23828.321854,0.225487,0.021291,0.201074,0.240205,0.225487,0.021291,0.201074,0.240205
0.25,fraction_0p25,2837,random,1,0.042851,0.002222,0.04142,0.045411,66321.388246,3341.078936,62474.125099,68493.481411,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
0.25,fraction_0p25,2837,random,2,0.104255,0.029118,0.084368,0.137678,28501.46519,6938.194737,20606.126636,33626.533314,0.426894,0.085477,0.329835,0.490945,0.426894,0.085477,0.329835,0.490945
0.25,fraction_0p25,2837,random,4,0.138429,0.037064,0.098313,0.1714,21632.313602,6426.528609,16551.906007,28856.785108,0.32995,0.116105,0.243423,0.4619,0.32995,0.116105,0.243423,0.4619
0.25,fraction_0p25,2837,random,8,0.103608,0.025627,0.084207,0.132659,28423.579291,6340.756263,21385.706328,33690.785802,0.426084,0.076387,0.342313,0.491883,0.426084,0.076387,0.342313,0.491883
0.25,fraction_0p25,2837,risk_proxy,1,0.033249,0.002448,0.030623,0.035466,85640.398435,6434.183043,79991.879569,92644.297492,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
0.25,fraction_0p25,2837,risk_proxy,2,0.117327,0.031696,0.081272,0.140801,25631.604931,8077.289743,20148.933072,34907.299403,0.296285,0.071755,0.239057,0.376788,0.296285,0.071755,0.239057,0.376788
0.25,fraction_0p25,2837,risk_proxy,4,0.077687,0.001888,0.076264,0.079829,36532.509231,877.59427,35538.329912,37199.532155,0.42783,0.025994,0.397862,0.444274,0.42783,0.025994,0.397862,0.444274
0.25,fraction_0p25,2837,risk_proxy,8,0.11367,0.036963,0.072336,0.143549,27218.700891,10494.427844,19763.258869,39219.589611,0.313136,0.096064,0.247066,0.423335,0.313136,0.096064,0.247066,0.423335
0.5,fraction_0p5,5675,always,1,0.089957,0.008355,0.083475,0.099386,63435.779788,5657.598636,57100.655123,67984.670805,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
0.5,fraction_0p5,5675,always,2,0.276891,0.084827,0.192505,0.362152,21903.424562,7002.016632,15670.194186,29479.677204,0.341097,0.082686,0.274431,0.433622,0.341097,0.082686,0.274431,0.433622
