dataset_fraction,workload_name,workload_size,policy_mode,workers,state_loading_ms_mean,state_loading_ms_median,state_loading_ms_p95,state_loading_ms_std,policy_inference_ms_mean,policy_inference_ms_median,policy_inference_ms_p95,policy_inference_ms_std,gating_ms_mean,gating_ms_median,gating_ms_p95,gating_ms_std,generation_stub_ms_mean,generation_stub_ms_median,generation_stub_ms_p95,generation_stub_ms_std,logging_ms_mean,logging_ms_median,logging_ms_p95,logging_ms_std,total_latency_ms_mean,total_latency_ms_median,total_latency_ms_p95,total_latency_ms_std,decision_points
0.25,fraction_0p25,2837,never,8,5.830188,5.651833,7.172687,2.519316,0.001337,0.0013,0.001533,0.000457,0.000275,0.0003,0.0003,0.000166,0.001086,0.0011,0.001207,0.000238,0.005841,0.005633,0.006467,0.001581,5.844715,5.666633,7.186827,2.519715,2837.0
0.25,fraction_0p25,2837,random,1,0.787988,0.752833,1.028913,0.124644,0.011597,0.010767,0.01452,0.003704,0.00024,0.0002,0.0003,0.000299,0.006237,0.0041,0.012473,0.008038,0.004473,0.004167,0.005033,0.002111,0.815039,0.777833,1.062447,0.127854,2837.0
0.25,fraction_0p25,2837,random,2,1.535951,1.4741,1.83156,0.745384,0.014836,0.013133,0.028607,0.008481,0.00029,0.0003,0.0003,0.000654,0.007746,0.004833,0.01678,0.016827,0.005432,0.0047,0.006433,0.00649,1.569866,1.507567,1.86884,0.747474,2837.0
0.25,fraction_0p25,2837,random,4,2.953536,2.825167,3.38452,2.856144,0.014436,0.013833,0.01684,0.003305,0.000279,0.0003,0.0003,0.000247,0.007236,0.0047,0.014433,0.006554,0.005149,0.004933,0.0055,0.002029,2.986069,2.858267,3.418087,2.856445,2837.0
0.25,fraction_0p25,2837,random,8,6.06058,5.8212,7.543213,2.676885,0.01479,0.0141,0.01774,0.007834,0.000287,0.0003,0.000367,0.000217,0.007635,0.005067,0.015367,0.011624,0.005306,0.005,0.005967,0.005834,6.094156,5.8557,7.579793,2.678336,2837.0
0.25,fraction_0p25,2837,risk_proxy,1,3.736887,2.561967,10.472853,5.617068,0.006673,0.006133,0.010367,0.002976,0.000258,0.0002,0.000367,0.000512,0.00368,0.000933,0.0147,0.008702,0.005422,0.0048,0.008067,0.002904,3.758013,2.5828,10.51006,5.621155,2837.0
0.25,fraction_0p25,2837,risk_proxy,2,1.508775,1.446433,1.819433,0.787795,0.006669,0.006067,0.008453,0.003074,0.000278,0.000267,0.0003,0.000691,0.00377,0.001,0.014607,0.005903,0.005629,0.005133,0.006567,0.003065,1.530589,1.468033,1.84002,0.788219,2837.0
0.25,fraction_0p25,2837,risk_proxy,4,2.953381,2.8179,3.447833,2.832429,0.006786,0.0064,0.0081,0.002123,0.000271,0.0003,0.0003,0.00014,0.003893,0.001033,0.015333,0.005815,0.005782,0.005467,0.006533,0.002187,2.975693,2.838667,3.468093,2.832604,2837.0
0.25,fraction_0p25,2837,risk_proxy,8,5.906501,5.7035,7.22882,2.589437,0.006818,0.006467,0.007633,0.008506,0.000286,0.0003,0.0003,0.000674,0.003832,0.001033,0.01508,0.005616,0.005664,0.005533,0.0062,0.00138,5.928587,5.725567,7.24992,2.589853,2837.0
0.5,fraction_0p5,5675,always,1,0.774848,0.745733,0.98078,0.109799,0.000994,0.0009,0.001133,0.000802,0.00022,0.0002,0.0003,0.000271,0.011603,0.010933,0.013967,0.003586,0.004642,0.004267,0.0053,0.003428,0.797024,0.767367,1.00859,0.112684,5675.0
0.5,fraction_0p5,5675,always,2,1.519786,1.448033,1.755257,2.110379,0.001253,0.001167,0.0014,0.001181,0.000253,0.0002,0.0003,0.000555,0.013917,0.012633,0.027087,0.005392,0.005355,0.004733,0.005933,0.004091,1.546265,1.473967,1.784567,2.110644,5675.0
0.5,fraction_0p5,5675,always,4,2.920172,2.814233,3.395073,2.979412,0.001316,0.001267,0.001467,0.00085,0.000261,0.000267,0.0003,0.000348,0.014352,0.0138,0.016153,0.005146,0.005553,0.005133,0.005767,0.004342,2.947622,2.841933,3.422917,2.979575,5675.0
0.5,fraction_0p5,5675,always,8,6.045043,5.768833,7.39805,4.598887,0.00132,0.0013,0.001533,0.000352,0.000267,0.0003,0.0003,0.000261,0.014312,0.014,0.0157,0.002156,0.005601,0.0053,0.00591,0.004407,6.072561,5.796533,7.426407,4.599302,5675.0
0.5,fraction_0p5,5675,bc,1,0.786419,0.738833,1.033487,0.145765,0.001637,0.001533,0.001967,0.001432,0.000218,0.0002,0.0003,0.000205,0.011819,0.011,0.0146,0.003665,0.004701,0.004233,0.0054,0.003474,0.809538,0.761,1.061033,0.148434,5675.0
0.5,fraction_0p5,5675,bc,2,1.519577,1.448133,1.757433,1.967291,0.001924,0.0018,0.002167,0.001419,0.00025,0.0002,0.0003,0.000484,0.01409,0.012967,0.021977,0.008057,0.005466,0.004867,0.006333,0.004163,1.547055,1.474633,1.78838,1.967602,5675.0
0.5,fraction_0p5,5675,bc,4,2.913455,2.805167,3.356673,2.996797,0.001994,0.001933,0.0022,0.001013,0.000257,0.000267,0.0003,0.000356,0.014361,0.013833,0.01571,0.005345,0.005546,0.005133,0.0057,0.004314,2.941619,2.832967,3.38551,2.997102,5675.0
0.5,fraction_0p5,5675,bc,8,5.952439,5.7317,7.27628,4.486236,0.00205,0.002,0.002267,0.002898,0.000263,0.0003,0.0003,0.00017,0.014245,0.014067,0.015267,0.001772,0.005551,0.0052,0.005767,0.004263,5.980446,5.759533,7.303697,4.486609,5675.0
0.5,fraction_0p5,5675,bc_live,1,0.477092,0.448733,0.641373,0.084521,0.004151,0.004148,0.004285,0.000118,0.000168,0.0002,0.0002,0.000241,0.003539,0.003367,0.0037,0.004067,0.002539,0.002433,0.0027,0.0012,0.008822,0.0084,0.009267,0.004829,5675.0
0.5,fraction_0p5,5675,bc_live,2,0.474545,0.4563,0.59711,0.06744,0.004402,0.004213,0.00499,0.000392,0.000197,0.0002,0.000267,0.000328,0.013965,0.004067,0.008433,0.561887,0.003308,0.0029,0.0047,0.002461,0.021677,0.010133,0.019133,0.585688,5675.0
0.5,fraction_0p5,5675,bc_live,4,0.478847,0.455167,0.632473,0.074984,0.003988,0.003938,0.004119,8.1e-05,0.000187,0.0002,0.000267,0.00025,0.007659,0.0038,0.005133,0.264704,0.00438,0.0026,0.003633,0.110455,0.019887,0.009267,0.012767,0.506025,5675.0
0.5,fraction_0p5,5675,bc_live,8,0.480091,0.451967,0.64388,0.252802,0.004174,0.004182,0.004225,5.1e-05,0.00018,0.0002,0.000267,0.000188,0.008451,0.0037,0.005167,0.25259,0.014116,0.002633,0.003633,0.562681,0.026409,0.009133,0.0128,0.791279,5675.0
0.5,fraction_0p5,5675,never,1,0.777272,0.743333,0.987327,0.123452,0.001001,0.0009,0.0011,0.000845,0.000235,0.0002,0.0003,0.000405,0.000886,0.000833,0.001,0.000786,0.004886,0.0045,0.005433,0.003383,0.788979,0.7544,1.002693,0.124661,5675.0
0.5,fraction_0p5,5675,never,2,1.490074,1.417467,1.736707,2.043057,0.001307,0.001167,0.0014,0.005312,0.000269,0.0002,0.0003,0.00062,0.001034,0.000967,0.0011,0.000902,0.005833,0.005133,0.006533,0.0062,1.50422,1.431233,1.751917,2.043269,5675.0
0.5,fraction_0p5,5675,never,4,2.900792,2.779933,3.3379,3.429233,0.001387,0.0013,0.001467,0.005302,0.000279,0.0003,0.0003,0.000434,0.001095,0.0011,0.0012,0.000602,0.006125,0.0056,0.00641,0.005963,2.915705,2.794733,3.35385,3.429412,5675.0
0.5,fraction_0p5,5675,never,8,5.884084,5.666,7.25641,3.730319,0.001342,0.0013,0.001567,0.000676,0.000296,0.0003,0.0003,0.001832,0.001102,0.0011,0.001233,0.0004,0.006111,0.005667,0.006767,0.007788,5.89896,5.682033,7.271697,3.730558,5675.0
