policy_mode,seed,workers,fault_mode,expected_rows,observed_rows,injected_events,ray_task_count,ray_execution_seconds,throughput_points_per_second,expected_hash,observed_hash,hash_match,row_count_match,unauthorized_invocations,authorization_execution_consistent,validation_passed,expected_flagged,detected_flag,detection_correct,reference_source,workload_fraction,decision_points,ray_chunk_size,ray_init_seconds,input_csv
random,3,4,dropped_row,11351,11238,113,45,0.08885329999975511,126478.1386851245,76f0073221be78fecf7782d395d1637091575056c6d5791694d9d2d3a06ce2b8,2db990cf8531c042782758cfa9ede95b1bbb803f66a447ab25e22f47ad1ec665,0,0,0,1,0,1,1,1,replaybench_determinism_csv,1.0,11351,256,3.4127644000000146,paper_outputs\replay_input_v260.csv
never,1,4,clean,11351,11351,0,45,0.08928759999980684,127128.51504603725,85b204e18d148f257d123713bca70c3b6c02c80659feb4b366e1d6b1878ffde9,85b204e18d148f257d123713bca70c3b6c02c80659feb4b366e1d6b1878ffde9,1,1,0,1,1,0,0,1,replaybench_determinism_csv,1.0,11351,256,3.4127644000000146,paper_outputs\replay_input_v260.csv
never,1,4,action_flip,11351,11351,107,45,0.08280289999675006,137084.57071486043,85b204e18d148f257d123713bca70c3b6c02c80659feb4b366e1d6b1878ffde9,2d3c7b2044214c3f9e44c95e541e8af3e21278dfe22c7addee88323df4be0992,0,1,0,1,0,1,1,1,replaybench_determinism_csv,1.0,11351,256,3.4127644000000146,paper_outputs\replay_input_v260.csv
never,1,4,dropped_row,11351,11238,113,45,0.1353342000002158,83038.87709080249,85b204e18d148f257d123713bca70c3b6c02c80659feb4b366e1d6b1878ffde9,f236849b2229d9b42a756d8b3ec228fc8d6631dc029cd58f68dc2af800b6d8c9,0,0,0,1,0,1,1,1,replaybench_determinism_csv,1.0,11351,256,3.4127644000000146,paper_outputs\replay_input_v260.csv
never,2,4,clean,11351,11351,0,45,0.08679960000154097,130772.4920368122,85b204e18d148f257d123713bca70c3b6c02c80659feb4b366e1d6b1878ffde9,85b204e18d148f257d123713bca70c3b6c02c80659feb4b366e1d6b1878ffde9,1,1,0,1,1,0,0,1,replaybench_determinism_csv,1.0,11351,256,3.4127644000000146,paper_outputs\replay_input_v260.csv
never,2,4,action_flip,11351,11351,132,45,0.08602410000094096,131951.3950146045,85b204e18d148f257d123713bca70c3b6c02c80659feb4b366e1d6b1878ffde9,ae23237c3e27868b2d40d2079aa292c76e9756d508dc6fbc164b1e6794c6ca39,0,1,0,1,0,1,1,1,replaybench_determinism_csv,1.0,11351,256,3.4127644000000146,paper_outputs\replay_input_v260.csv
never,2,4,dropped_row,11351,11238,113,45,0.09228780000194092,121771.24170002592,85b204e18d148f257d123713bca70c3b6c02c80659feb4b366e1d6b1878ffde9,f236849b2229d9b42a756d8b3ec228fc8d6631dc029cd58f68dc2af800b6d8c9,0,0,0,1,0,1,1,1,replaybench_determinism_csv,1.0,11351,256,3.4127644000000146,paper_outputs\replay_input_v260.csv
never,3,4,clean,11351,11351,0,45,0.08742889999848558,129831.2114208988,85b204e18d148f257d123713bca70c3b6c02c80659feb4b366e1d6b1878ffde9,85b204e18d148f257d123713bca70c3b6c02c80659feb4b366e1d6b1878ffde9,1,1,0,1,1,0,0,1,replaybench_determinism_csv,1.0,11351,256,3.4127644000000146,paper_outputs\replay_input_v260.csv
never,3,4,action_flip,11351,11351,102,45,0.08838749999995343,128423.13675583064,85b204e18d148f257d123713bca70c3b6c02c80659feb4b366e1d6b1878ffde9,3447aa6664b2a578134e3424fd30b74469c20eeb677b2f495033e0b1be92ebfe,0,1,0,1,0,1,1,1,replaybench_determinism_csv,1.0,11351,256,3.4127644000000146,paper_outputs\replay_input_v260.csv
never,3,4,dropped_row,11351,11238,113,45,0.08936419999736245,125755.05627904335,85b204e18d148f257d123713bca70c3b6c02c80659feb4b366e1d6b1878ffde9,f236849b2229d9b42a756d8b3ec228fc8d6631dc029cd58f68dc2af800b6d8c9,0,0,0,1,0,1,1,1,replaybench_determinism_csv,1.0,11351,256,3.4127644000000146,paper_outputs\replay_input_v260.csv
