dataset_fraction,workload_name,policy_mode,workers,total_runtime_seconds,throughput_points_per_second,mean_latency_ms,median_latency_ms,p95_latency_ms,intervention_rate,unauthorized_invocations,fault_injected_count,memory_delta_mb,state_missing_count
0.1,fraction_0p1,proxy,1,1.1666465519999747,1392.112631652845,1.024639561526692,0.8710316666717214,1.1720722332711373,0.0,0.0,0.0,,0.0
0.1,fraction_0p1,proxy,2,1.0967024103332885,1035.6156584978355,1.9093867262870738,1.0237886666194147,1.3760417666693074,0.0,0.0,0.0,,0.0
0.1,fraction_0p1,proxy,4,1.443682184333208,786.4350328783394,5.048626687519081,2.409982333347216,15.963552000001366,0.0,0.0,0.0,,0.0
0.1,fraction_0p1,proxy,8,1.481514233333428,766.4515694805623,10.370778934802784,5.038981333427728,57.70272203330933,0.0,0.0,0.0,,0.0
0.1,fraction_0p1,random,1,0.7128997853333203,1594.1760403433964,0.6248155483119393,0.4484166666619179,0.5556483000267083,0.5077826725403818,0.0,0.0,,0.0
0.1,fraction_0p1,random,2,1.0927217520000643,1039.4624845205087,1.890317620850223,1.078384666546602,1.4229705333264064,0.5077826725403818,0.0,0.0,,0.0
0.1,fraction_0p1,random,4,1.5411765056666507,736.4684909904389,5.391124182670983,2.561121333277091,49.59195436669382,0.5077826725403818,0.0,0.0,,0.0
0.1,fraction_0p1,random,8,1.5526815763333464,731.3203778249659,10.881155714241352,5.266084666573079,58.41951983331152,0.5077826725403818,0.0,0.0,,0.0
0.25,fraction_0p25,always,1,1.7298071883332493,1646.2331901592543,0.6065520216199415,0.43099499998788815,0.5341474666693101,1.0,0.0,0.0,,0.0
0.25,fraction_0p25,always,2,2.7700578353332426,1024.1854825791536,1.9253944108799643,1.0548906667130116,1.4166540667247318,1.0,0.0,0.0,,0.0
0.25,fraction_0p25,always,4,3.828732818666746,741.0509074892387,5.326257007401634,2.514350000031603,46.74606946671986,1.0,0.0,0.0,,0.0
0.25,fraction_0p25,always,8,3.826376572333402,741.4684286847688,10.748122109506312,5.1050613333245565,58.29533633336723,1.0,0.0,0.0,,0.0
0.25,fraction_0p25,bc,1,1.6932825959999416,1675.570258591916,0.5936077657155622,0.4327419999299309,0.528140399971259,1.0,0.0,0.0,,0.0
0.25,fraction_0p25,bc,2,2.7715878413333335,1023.6312722030289,1.9316231416992917,1.0580706665829591,1.4106762000513602,1.0,0.0,0.0,,0.0
0.25,fraction_0p25,bc,4,3.8076462006667193,745.2029392262799,5.317442889789917,2.516826999908517,49.94555186664605,1.0,0.0,0.0,,0.0
0.25,fraction_0p25,bc,8,3.8629254806667936,734.4861196708865,10.832253346609086,5.184598333395722,58.39210159997492,1.0,0.0,0.0,,0.0
0.25,fraction_0p25,bc_live,1,0.9058498653333421,3132.467336133998,0.012291637292555791,0.011722999943231116,0.013396600070336715,1.0,0.0,0.0,,0.0
0.25,fraction_0p25,bc_live,2,1.0040718223332685,2827.2725739684265,0.05523072036112647,0.012452999953893595,0.016836000001300516,1.0,0.0,0.0,,0.0
0.25,fraction_0p25,bc_live,4,0.9849736103334029,2881.912441343142,0.034930766302521905,0.012472999969759258,0.01686646667925136,1.0,0.0,0.0,,0.0
0.25,fraction_0p25,bc_live,8,0.9954970609999236,2850.658251193774,0.07388411679106789,0.012397666675193856,0.02051626664372935,1.0,0.0,0.0,,0.0
0.25,fraction_0p25,never,1,1.6734403083333593,1695.954811008921,0.5867012152518437,0.413488666633081,0.5312135333194116,0.0,0.0,0.0,,0.0
0.25,fraction_0p25,never,2,2.662730646000076,1065.4516176842835,1.8495358621772187,1.0119070000200736,1.3320862000758398,0.0,0.0,0.0,,0.0
0.25,fraction_0p25,never,4,3.691433039666663,768.6315277174836,5.156979268827743,2.419361333371247,33.276643933428566,0.0,0.0,0.0,,0.0
0.25,fraction_0p25,never,8,3.726801468999914,761.3402892255194,10.459771594523888,5.007879999917956,57.78778739994171,0.0,0.0,0.0,,0.0
0.25,fraction_0p25,proxy,1,2.473553460000024,1352.4882747040374,0.8685866539777982,0.8215663333430712,1.174271666726175,0.0,0.0,0.0,,0.0
0.25,fraction_0p25,proxy,2,2.7311007559999325,1038.919305041079,1.8940631948064353,1.026636333335773,1.4062553333284684,0.0,0.0,0.0,,0.0
0.25,fraction_0p25,proxy,4,3.7172902233333693,763.219795120309,5.181609966512408,2.439041666699874,41.43157713333418,0.0,0.0,0.0,,0.0
0.25,fraction_0p25,proxy,8,3.7352316750000987,759.6023574973759,10.49144911138436,4.985829000058099,58.19986646667226,0.0,0.0,0.0,,0.0
0.25,fraction_0p25,random,1,1.6486477453333919,1721.777904801634,0.5774565086362776,0.43947000002238684,0.5460079332957926,0.4940665021736576,0.0,0.0,,0.0
0.25,fraction_0p25,random,2,2.8109369993332316,1009.4328467328336,1.9540332221825174,1.075309666703106,1.4589970667050993,0.4940665021736576,0.0,0.0,,0.0
0.25,fraction_0p25,random,4,3.8741716749999946,732.2902439183857,5.4206385154510075,2.547741333273734,51.17807046660038,0.4940665021736576,0.0,0.0,,0.0
